pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
141.845,-83.195,-90.0,top,C27,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47p,smt
139.465,-83.195,-90.0,top,C28,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47p,smt
123.21,-64.53,0.0,top,C29,,,CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,150uF,smt
110.08,-95.65,0.0,top,C3,,,CP_EIA-7343-20_Kemet-V_Pad2.25x2.55mm_HandSolder,47uF,smt
114.01,-65.66,90.0,top,C30,,,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,15uF,smt
108.61,-64.705,90.0,top,C31,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,2.2uF,smt
131.89,-63.25,-90.0,top,C33,,,C_Rect_L7.5mm_W6.5mm_P5.00mm,1uF,tht
139.43,-63.25,-90.0,top,C34,,,C_Rect_L7.5mm_W6.5mm_P5.00mm,1uF,tht
151.63,-63.25,-90.0,top,C35,,,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,.1uF,tht
146.36,-68.25,90.0,top,C36,,,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,.1uF,tht
156.73,-68.2,90.0,top,C37,,,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,.01uF,tht
162.26,-68.2,90.0,top,C38,,,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,.01uF,tht
82.09,-54.15,-90.0,top,C39,,,CP_EIA-7343-20_Kemet-V_Pad2.25x2.55mm_HandSolder,47uF,smt
118.07,-95.57,0.0,top,C4,,,CP_EIA-3528-12_Kemet-T_HandSolder,2uF,smt
202.9,-53.044888,-90.0,top,C40,,,CP_Radial_D5.0mm_P2.00mm,100uF,tht
195.89,-47.235,180.0,top,C41,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uF,smt
182.0,-52.255,-90.0,top,C42,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330pF,smt
184.73,-55.555,90.0,top,C45,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
192.495,-50.955,-90.0,top,C46,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
187.6,-46.345,180.0,top,C47,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10pF,smt
146.515,-75.035,-90.0,top,C48,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
131.575,-77.625,90.0,top,C49,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
119.08,-100.31,90.0,top,C5,,,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,22uF,smt
124.755,-75.155,-90.0,top,C50,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
109.855,-77.655,90.0,top,C51,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
103.44,-77.56,90.0,top,C52,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
88.84,-80.29,-90.0,top,C53,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
139.84,-117.98,90.0,top,C54,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
124.98,-120.47,-90.0,top,C55,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
194.775,-50.975,90.0,top,C56,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
187.085,-55.5075,-90.0,top,C57,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
